,0
0,telecommun sell cabl system knightridd inc said tkr cabl co joint ventur telecommun inc sign letter intent acquir cabl televis system basic subscrib wildwood nj ramapo warwick ny telecommun undisclos term
1,un issu report natur ga claus un centr transnat corpor issu report contain guidelin recommend negoti natur ga claus agreement transnat petroleum corpor host countri un said report aim promot petroleum explor area perceiv ga prone page report contain indepth examin problem ga developo look differ way contractu term might deal risk ga develop associ price market volum
2,bicc plc year shr p v p final div p make p v p pretax profit mln stg v mln attribut profit mln v mln turnov billion stg v billion
3,commerci credit unit sell divis commerci credit co said american health life insur co sold ordinari life insur busi american nation insur co american nation assum busi later august commerci credit said sale part restructur program begun commerci credit subsidiari late compani said
4,southmark offer special dividend southmark corp said issu sharehold special dividend right acquir share american realti trust share southmark right entitl holder buy one share benefici interest american realti trust price dlr per share southmark said southmark said offer record date may exdividend date april ad issu right sharehold may offer expir may southmark said receiv right april holder pct american realti trust outstand share holder fewer southmark share would receiv right acquir fewer american realti share paid cash lieu right distribut compani said southmark said comput cash price paid base averag close market price right american stock exchang first ten day right trade begin april order get dividend right southmark sharehold must common stock exdividend date april compani said southmark said common stock trade exright basi
5,alfin inc nd qtr jan loss shr loss ct v profit ct net loss v profit rev v avg shr v six mth shr loss ct v profit ct net loss v profit rev mln v mln avg shr v
6,henri ansbach pct adam porter inc ansbach hold plc said acquir pct interest u retail gener corpor insur broker porter inc move first step build new intern insur broke group follow appoint new manag team seascop insur hold unit ansbach said p excit growth potenti particularli east coast u annual revenu four mln dlr ansbach share p help announc earlier today pretax profit rise mln stg mln
7,product inc six mth dec loss shr loss ct loss rev note initi public list decemb
8,circu circu enterpris th qtr net oper shr ct v ct oper net v rev mln v mln year oper shr ct v one dlr oper net v rev mln v mln note current qtr year figur exclud extraordinari loss earli debt retir mln dlr five ct per share mln dlr ct per share respect full name circu circu enterpris inc
9,sunstar food inc nd qtr feb net shr ct v report net v sale mln v mln six mth shr ct v ct net v sale mln v mln note six month net includ loss discontinu oper equal two ct share net includ loss discontinu oper four ct quarter six ct six month
10,earli march opec output seen well ceil opec crude oil output first day march run mln bpd mln bpd averag februari well mln bpd ceil group adopt decemb reuter survey show figur poll reuter correspond oil trader industri execut analyst europ middl east africa latin america asia back recent statement opec minist group produc within ceil support return fix price system came effect last month opec output whole februari bpd ceil larg overproduct unit arab emir kuwait figur show uae togeth much smaller produc ecuador also produc quota first day march survey reveal overproduct compens sharp fall saudi arabian output togeth iran inabl export much quota allow iraq reject opec quota mln bpd produc mln bpd februari earli march figur show saudi output exclud movement stock fell mln bpd earli march mln bpd februari mln bpd quota saudi figur includ bpd share neutral zone product kuwait consist deni quota violat estim pump mln bpd februari earli march figur includ bpd share neutral zone output bpd quota report custom resist fix price set opec state reflect output qatar nigeria substanti quota februari earli march qatar februari output bpd fell bpd earli march compar bpd quota industri sourc say japanes buyer resist qatar price gulf arab oil state pledg make shortfal sale fellow gulf state suffer nigeria earli march output one mln bpd mln bpd februari quota mln bpd industri sourc say nigeria custom believ bonni grade overpr compar compat brent crude uk north sea countrybycountri product figur follow mln bpd countri current februari quota algeria ecuador gabon indonesia iran iraq kuwait libya nigeria qatar saudi arabia uae venezuela total reuter
11,ultramar plc year shr p loss v p earn div p make p v p net loss mln stg v mln profit oper profit tax mln v mln turnov billion v billion cost sale billion v billion gross profit mln v mln distribut cost administr expens mln v mln share profit associ mln v mln oper incom mln v mln financ charg mln v mln tax mln v mln except item mln debit v mln debit net result discontinu oper mln debit v mln debit loss ordinari activ minor interest mln v mln profit minor interest mln v mln extraordinari debit mln v nil
12,lloyd bank match base rate cut pct lloyd bank plc said cut base lend rate pct pct effect tomorrow reduct follow similar move three british clear bank nation westminst bank plc led way morn bank england lower deal rate signal would toler half percentag point reduct central bank surpris signal follow strenuou effort last week prevent market forc bring base rate uk budget march
13,aw comput system inc year end dec shr ct v ct net v rev v
14,baldrig say u go ahead japanes sanction baldrig say u go ahead japanes sanction
15,musicland group inc rd qtr net shr ct v ct net v rev mln v mln avg shr mln v nine mth shr ct v ct net v rev mln v mln avg shr mln v note compani pct own primerica corp
16,teleconcept corp rd qtr net shr profit ct v profit one ct net profit v profit sale v avg shr v nine mth shr profit ct v loss ct net profit v loss sale mln v avg shr v backlog v
17,royal dutch rd unit rais heavi fuel price scallop petroleum corp subsidiari royal dutchshel group said rais contract price heavi fuel ct one dlr barrel effect tomorrow increas bring price pct sulphur fuel dlr ct pct sulphur dlr ct pct sulphur dlr ct one pct sulphur dlr ct two pct sulphur dlr one dlr pct sulphur dlr one dlr pct sulphur dlr one dlr compani said price pct sulphur unchang dlr said
18,outokumpu copper deal iberica del cobr finland stateown mine compani outokumpu oy said statement enter spanish market sharehold iberica del cobr sa manufactur copper product outokumpu acquir pct share spanish compani compani set agent outokumpu spain deal await approv spanish govern iberica del cobr make tube rod roll drawn copper alloy product sale tonn output amount billion peseta outokumpu turnov billion markka
