,0
0,abandon
1,abl
2,absolut
3,abund
4,accept
5,accord
6,account
7,achiev
8,acknowledg
9,acquaint
10,acquir
11,acquisit
12,act
13,action
14,activ
15,actual
16,acuqir
17,ad
18,add
19,addit
20,address
21,adequ
22,adher
23,adhes
24,adjust
25,admac
26,administr
27,adopt
28,advis
29,affair
30,affect
31,africa
32,african
33,afternoon
34,ag
35,againmontagu
36,agenc
37,agenda
38,aggrav
39,aggreg
40,aggress
41,ago
42,agre
43,agreement
44,agricultur
45,agrreement
46,ahead
47,aid
48,aim
49,air
50,airlin
51,al
52,alabama
53,alcoa
54,alfr
55,algeria
56,alitalia
57,alli
58,allow
59,alloy
60,almost
61,along
62,alreadi
63,also
64,altern
65,although
66,altu
67,aluminium
68,aluminum
69,amend
70,america
71,american
72,amic
73,among
74,amount
75,anacomp
76,analyst
77,angel
78,angri
79,announc
80,annual
81,anoth
82,antidump
83,antwerp
84,appar
85,appeal
86,appear
87,appli
88,applic
89,appreci
90,approach
91,appropri
92,approv
93,approxim
94,apr
95,april
96,aprmar
97,arabia
98,arbitr
99,arbitrageur
100,area
101,argu
102,arkansa
103,arm
104,around
105,arriv
106,art
107,artsrel
108,asian
109,ask
110,assert
111,asset
112,associ
113,assur
114,atlant
115,attempt
116,attend
117,attent
118,auditor
119,august
120,australia
121,australian
122,author
123,authoris
124,auto
125,autumn
126,avail
127,averag
128,avert
129,avg
130,avia
131,aviat
132,avoid
133,await
134,award
135,back
136,baker
137,balanc
138,baldrig
139,ban
140,bancorpor
141,bangladesh
142,bank
143,bankamerica
144,banker
145,bankshar
146,bar
147,bargain
148,barley
149,barrel
150,barri
151,barrier
152,base
153,basi
154,basin
155,basiu
156,becom
157,begin
158,behind
159,belgian
160,belief
161,believ
162,bell
163,benefici
164,benefit
165,best
166,bethesda
167,better
168,beverag
169,bid
170,bidder
171,big
172,biggest
173,bilater
174,bilizerian
175,bill
176,billion
177,bilzerian
178,birmingham
179,birr
180,block
181,blood
182,board
183,bonnbas
184,boom
185,boost
186,bought
187,bow
188,bracket
189,bramham
190,breadmak
191,breath
192,britain
193,british
194,broadli
195,broker
196,brokerag
197,brother
198,bu
199,budget
200,build
201,bulg
202,bulk
203,bulletin
204,bullion
205,bunch
206,bundesbank
207,busi
208,businessmen
209,buy
210,buyout
211,bylaw
212,c
213,cabinet
214,cabl
215,calendar
216,california
217,call
218,came
219,canada
220,canadian
221,canadianbas
222,canbra
223,cancer
224,canva
225,capac
226,capciti
227,capit
228,car
229,carrier
230,case
231,cash
232,cathod
233,cattl
234,caus
235,cautiou
236,cautious
237,celanes
238,cent
239,central
240,cereal
241,ceremoni
242,certain
243,certif
244,cftc
245,chairman
246,chanc
247,chancellor
248,chang
249,charg
250,charter
251,cheadl
252,cheap
253,chemic
254,chicago
255,china
256,chirac
257,cif
258,citi
259,citibank
260,claim
261,clarif
262,clark
263,class
264,clau
265,clayton
266,clear
267,clercq
268,climb
269,close
270,closur
271,co
272,coars
273,cob
274,cocoa
275,collect
276,combat
277,combin
278,come
279,comment
280,commerc
281,commerci
282,commiss
283,commission
284,commit
285,committe
286,commod
287,common
288,commun
289,compani
290,compar
291,comparison
292,compens
293,compet
294,competit
295,competitor
296,complement
297,complet
298,compon
299,comput
300,concept
301,concern
302,condit
303,confectioneri
304,confer
305,confid
306,confin
307,confirm
308,conform
309,confront
310,congress
311,conjunct
312,connect
313,consensu
314,consequ
315,consid
316,consider
317,consist
318,constant
319,constitut
320,consum
321,contact
322,contain
323,contest
324,contin
325,continent
326,conting
327,continu
328,contorl
329,contract
330,contrast
331,contribut
332,control
333,controversi
334,conven
335,convent
336,convert
337,convinc
338,cooper
339,coopervis
340,coordin
341,copi
342,copper
343,core
344,corn
345,corp
346,corpor
347,correspond
348,cosmet
349,cost
350,costli
351,could
352,council
353,counterpart
354,countri
355,court
356,credit
357,crew
358,crisi
359,criticis
360,crop
361,cross
362,crude
363,ct
364,ctc
365,cubic
366,cumul
367,cure
368,currenc
369,current
370,custom
371,cut
372,cutpric
373,dainippon
374,daiwa
375,damag
376,danger
377,datagraphix
378,date
379,david
380,day
381,dbt
382,de
383,deadli
384,deal
385,dealer
386,debat
387,debentur
388,debt
389,dec
390,decemb
391,decid
392,decis
393,declar
394,declin
395,decreas
396,dedic
397,defici
398,deficit
399,defin
400,definit
401,del
402,delay
403,deleg
404,deliveri
405,demand
406,deni
407,denshin
408,denwa
409,depart
410,deplor
411,deposit
412,depreci
413,describ
414,design
415,desir
416,despit
417,detail
418,deterior
419,determin
420,develop
421,deviat
422,diametr
423,diego
424,differ
425,differenti
426,digest
427,digit
428,diplomat
429,direct
430,director
431,disagr
432,disallow
433,disappoint
434,disclos
435,discontinu
436,discount
437,discu
438,discuss
439,diseas
440,dismiss
441,dispos
442,disput
443,disrupt
444,distanc
445,distribut
446,distributor
447,disturb
448,div
449,dividend
450,divis
451,dlr
452,dlrashar
453,document
454,dollar
455,domest
456,donaldson
457,donat
458,done
459,dont
460,doubl
461,doubt
462,downstream
463,downturn
464,downward
465,dozen
466,draft
467,drain
468,drink
469,drive
470,driverharri
471,drop
472,drug
473,drysdal
474,due
475,dutch
476,duti
477,dynam
478,eager
479,earli
480,earlier
481,earn
482,east
483,ec
484,econom
485,economi
486,ecu
487,edg
488,editor
489,effect
490,effici
491,effort
492,eight
493,elaps
494,electricga
495,electron
496,elimin
497,elsewher
498,embark
499,emerg
500,employ
501,employe
502,enabl
503,end
504,endors
505,energi
506,england
507,enough
508,enter
509,entertain
510,entir
511,entitl
512,entrant
513,entri
514,equal
515,equiti
516,era
517,erad
518,erect
519,especi
520,est
521,estim
522,eurodollar
523,euromark
524,europ
525,european
526,evalu
527,evapor
528,even
529,exagger
530,except
531,excess
532,exchang
533,exchequ
534,exclud
535,exclus
536,exdividend
537,exercis
538,expand
539,expans
540,expect
541,expens
542,experi
543,experienc
544,expert
545,expir
546,export
547,express
548,exright
549,extend
550,extens
551,extern
552,extraordinari
553,exxon
554,face
555,factor
556,fail
557,failur
558,fall
559,far
560,farm
561,fast
562,faster
563,favour
564,featur
